PctUnemployed,PctImmigRec5,TotalPctDiv,PopDens,PctLess9thGrade,medIncome,levelofcrime
10.31,29.61,17.1,6234.9,10.23,20329,High
4.05,9.44,9.74,3514.7,2.22,35018,Low
11.58,18.49,12.96,7798.2,12.42,18482,High
10.85,17.15,14.81,1359.8,14,21885,High
5.42,9.38,13.34,732.4,9.38,31489,High
4.35,11.99,9.28,688.6,5.24,31177,Low
7.04,23.11,10.17,9533.9,17.26,33311,Low
4.69,17.05,16.51,3363.3,7.79,24884,High
4.87,23.38,13.75,649.2,11.71,25790,High
6.83,29,12.33,3107.5,12.15,29463,High
3.62,4.65,7.5,3362.1,5.02,39437,Low
7.2,30.36,11.22,3070.1,9.78,31146,High
6.67,19.13,9.33,456.3,7.74,36682,High
7.12,11.42,9.23,2163.3,18.42,26136,Low
8.74,6.36,11.83,1534.3,26.36,19970,High
5.47,17.01,10.09,223.6,3.11,29590,Low
4.1,10.71,12.47,1548.4,3.89,24869,High
6.89,29.19,15.38,11605.2,10.94,30967,High
7.77,20.1,14.93,2121.4,11.35,22102,High
3.62,8.11,9.67,576.4,8.86,38025,Low
6.63,26.11,9.47,2409,9.47,22661,High
2.86,16.78,15.89,4378,9.45,28121,High
8.24,26.42,12.61,1477.4,16.5,20810,High
3.8,32.92,7.73,1178.4,4.43,65072,Low
7.6,24.15,15.82,3702.5,10.13,28183,High
6.59,16.11,13.44,1774.5,9.4,24462,High
6.55,15.5,9.61,3131.4,11.05,21060,Low
4.72,6.76,7.18,673.2,4.55,34978,Low
5.98,32.01,13.88,1331.5,10.68,19420,High
4.64,27.17,16.58,3615.7,5.04,32420,High
2.65,20.86,7.03,1121.5,6.32,47517,Low
9.74,26.35,14.8,13083.7,13.87,27301,High
10.81,24.7,9.33,11329.3,36.2,27279,High
7.43,22.64,15.02,1537.2,12.39,26547,High
5.46,14.77,9.74,2491.1,6.88,34492,High
4.66,16.88,11.39,286.5,15.57,24676,Low
2.18,4.85,8.8,1655.8,13.43,21344,Low
4.79,15.39,12.42,1322.6,6.36,35794,High
4.61,27.74,8.6,2190.2,3.82,46885,Low
1.66,24.73,5.49,451.5,0.66,47299,Low
10.72,41.09,13.67,1017,11.77,14555,High
3.01,18.2,14.45,4589.7,1.1,60374,Low
4.07,24.42,15.45,2740.2,3.15,45964,Low
5.36,6.12,9.48,1027.6,8.51,32493,High
5.41,24.19,10.52,5776.7,4.26,52442,High
1.87,15.64,7.3,3421.8,1.42,53140,Low
9.38,26.92,13.58,1415.4,15.95,21352,High
4.3,17.86,10.68,2371.5,4.47,46116,Low
5.29,4.78,10.15,1094.6,4.09,40378,Low
6.41,12.95,8.13,776.3,5.39,45397,Low
5.39,2.2,10.87,1737.3,8.9,22783,High
3.64,24.16,9.67,674.7,3.4,45828,Low
3.35,17.57,11.06,3807.6,17.68,24947,Low
5.82,10.38,10.31,957.3,5.11,31510,Low
3.03,15.36,7.5,1640.4,2.74,47629,Low
11.85,16.16,15.99,1564.6,17.41,14579,High
2.57,19.94,8.24,2347.5,9.28,40602,High
8.98,2.64,12.23,2268.2,9.36,23819,Low
9.15,27.45,13.7,3438.1,9.9,22806,High
3.25,10.6,6.07,923.4,5.42,57484,Low
6.62,22.9,9.25,9248.8,23.35,36383,High
4.98,8.53,10.65,3790.6,8.95,30031,Low
7.28,44.9,12.37,1775,7.84,26684,Low
3.45,14.59,12.64,1875.5,11.81,26500,High
5.39,22.6,14.14,876.2,4.19,38802,Low
8.66,25.61,14.59,2450.1,8.27,31561,High
5.13,28.42,13.61,6251.8,7.69,32793,High
7.82,24.08,13,2796.3,9.19,24131,High
4.98,10.43,13.55,2619.8,8.27,26233,High
4.36,6.9,10.23,4367.8,5.74,40934,Low
3.18,6.74,4.6,720.5,4.11,62021,Low
3.03,2.86,7.51,1053.1,5.08,54834,Low
8.12,26.68,12.01,3288.6,8.65,36233,High
5.3,19.11,13.37,1739.3,17,25910,High
9.91,25.16,13.37,19984.9,10.72,30529,High
6.16,19.45,10.12,25331.5,17.29,34873,High
9.65,17.36,9.72,1747,26.89,20858,High
3.93,9.25,10.73,2077.6,8.71,34472,Low
4.31,6,11.45,475.5,7.01,24929,Low
3.2,31.78,12.09,1046.9,4.48,37025,High
5.79,33.16,14.76,2254.8,9.72,25372,Low
5.35,28.3,11.27,2237.7,8.89,34091,High
2.27,23.97,5.83,1224.3,2.95,66930,Low
4.04,13.13,7.41,2092.8,8.88,46057,Low
6.81,24.92,9.49,3231.1,9.59,23886,High
6.92,10.29,11.96,1953.5,13.79,22276,High
3.64,15.39,5.88,3239.4,1.85,65994,Low
7.06,25.62,10.47,1506.4,10.99,25759,Low
7.53,12.71,14.49,2530.4,7.26,25535,Low
5.28,1.83,9.68,4012.2,10.6,34887,Low
3.36,25.98,6.42,739.6,1.46,110550,Low
6.45,27.51,13.64,4722.7,13.79,30739,High
7.55,40.19,8.55,533,15.64,17254,Low
5.81,9.52,8.04,1611.4,7.57,42044,Low
2.67,4.81,3.92,621.3,5.78,83975,Low
3.76,17.91,9.68,6512.1,7.7,41875,High
5.53,12.42,12.66,1445.1,5.32,30896,Low
8.12,49.9,6.09,1780.8,6.95,19672,Low
8.5,23.73,14.1,2032.8,10.63,20585,Low
4.15,2.79,8.03,848.2,7.75,36221,High
5.26,27.41,11.7,7175.4,5.43,35951,Low
5.01,0,6.85,2401.5,18.74,31726,Low
5,10.22,9.64,422.1,7.94,39651,Low
6.2,25.76,11.9,14962.8,11.33,33414,High
5.35,23.11,13.54,6041.2,5.42,38907,High
5.52,57.12,8.21,3343.1,2.4,23212,Low
8.61,24.69,12.04,1728.3,14.36,33313,High
5.37,15.46,9.94,503.3,7.98,39916,High
5.13,15.32,11.51,2417.9,10.96,36211,Low
4.81,18.16,16.26,10143,5.51,35997,High
2.63,10.47,6.52,627.4,2.67,64538,Low
6.33,12.56,10.2,666.1,19.04,28496,Low
2.46,3.76,8.84,1832.3,6.25,34061,Low
5.84,17.5,11.27,950.2,5.01,30287,High
4.36,26.76,12.79,2984.9,5.03,31833,Low
8.85,10.57,12.17,4772.8,8.74,22032,High
5.85,53.28,4.58,2170.4,2.4,21162,Low
7.5,3.68,12.19,1125.5,20.79,24051,Low
5.73,0,10.32,2102,7.33,25324,High
4.9,45.08,6.35,5228.9,4.78,17738,Low
6.6,23.03,11.15,2229.1,4.7,25698,High
4.74,9.9,9.52,1004.2,5.48,37500,Low
3.51,13.61,10.53,1977.9,5.08,36431,Low
2.55,16.85,8.08,3417.4,2.36,48137,Low
9.86,6.1,10.93,793.1,17.15,22100,High
8.03,25.04,9.45,10395.5,14.73,32332,Low
2.84,9.87,4.41,394.7,3.73,60900,Low
10.56,6.82,13.57,2763.5,13.84,16442,High
4.23,14.76,6.3,651.7,1.67,46027,Low
11.85,24.79,16.17,2435.4,10.79,26372,High
5.58,13.68,12.7,3021.3,13.12,29133,Low
6.77,26.73,16.61,2944.6,7.68,25106,High
8.29,19.07,10.26,1941.4,25.45,24103,High
5.55,35.2,8.13,421,6.53,40321,Low
4.53,10.07,11.77,1810.6,4.19,32984,Low
3.53,21.36,13.3,6865.9,4.09,38122,High
4.22,8.72,9.65,2880.2,12.31,25976,Low
4.45,19.01,8.94,1009.8,8.19,42783,Low
3.66,24.09,10.55,1840.1,5.1,38531,High
3.19,23.42,9.26,6133.4,6.32,45999,Low
7.25,12.03,12.71,1338.2,5.73,25918,High
6.47,18.43,14.52,7270.3,15,22210,High
10.56,17.03,13.29,2123.3,15.01,21225,High
5.21,14.59,10.66,935.8,3.23,51173,Low
5.82,24.77,5.98,631.1,8.81,27154,High
3.63,33.32,9.73,4284.1,4.69,47347,High
4.52,9.9,4.85,1904.3,2.43,53130,Low
8.28,32.91,13.57,1925.8,16.94,21881,High
9.83,34.09,11.59,2084.8,30.07,25976,High
3.17,40.55,13.27,2130.4,8.66,34891,High
3.24,24.05,8.68,3148.2,0.77,61572,Low
5.23,20.47,11.14,2834.7,3.77,37050,Low
6.84,61.69,6.17,2238.5,2.94,21312,Low
3.63,9.72,6.4,7276.1,5.43,55476,Low
5.93,21.49,12.83,2401.8,6.89,27469,High
4.75,44.9,11.29,370.6,16.55,20970,Low
2.57,8.34,6.24,4533.9,4.38,54469,Low
10.81,28.31,12.51,1077,13.25,22514,High
10.21,16.8,11.77,2007.6,18.32,24649,High
9.08,0,12.14,1131.9,31.54,17805,Low
12.39,36.73,12.88,1493.5,19.14,16496,High
9.67,34.81,11.07,2066.9,18.62,16162,Low
4.19,17.17,13.3,1844.6,2.81,49660,Low
4.36,7.45,6.45,503.9,3.35,59834,Low
9.68,19.06,14.39,705.5,15.47,19456,High
6.05,28.82,10.17,10393.2,14.56,31368,High
6.96,23.36,15.36,2625.2,13.67,23933,High
5.37,20.49,15.58,5063.6,6.94,35516,High
4.36,38.54,4.28,2566.9,8.13,19635,Low
6.47,33.96,12.65,2003.5,26.95,18049,High
2.25,17.12,5.1,1915.8,3.17,83275,Low
5.44,7.92,9.37,2322.5,6.04,35786,High
5.47,18.2,8.09,432.1,3.87,44492,Low
3.86,19.37,5.9,1910.5,4.17,58769,Low
5.61,27.51,13.61,1504,9.81,23835,High
8.32,33.9,10.24,11447.7,10.34,29180,High
4.6,4.34,9.67,4233.9,7.7,31998,Low
2.84,16.89,7.7,524.3,3.27,57464,Low
7.12,30.65,14.83,3346.3,8.54,21183,High
6.83,54.9,7.36,3871.8,4.65,18393,High
3.17,38.3,14.85,5410.7,6.41,42431,High
3.52,47.14,9.32,3196.2,3.84,29420,Low
9,51.32,13.71,768.4,17.88,18870,High
5.32,10.26,12.04,1110.1,12,32886,Low
6.7,7.63,6.81,2351.7,3.72,44734,High
6.74,0,9.89,2301.7,8.55,27688,Low
8.29,36.98,18.77,2035.9,9.18,22194,High
9.91,25.69,11.56,8617.3,20.43,27631,High
5.03,0,13.51,716.2,9.55,31155,Low
6.29,20.69,10.59,997.3,7.4,25341,High
11.04,28.56,12.67,16110.7,22.45,26960,High
4.07,15.5,12,1251.2,6.21,31308,High
2.07,15.93,8.41,1356.3,1.84,36582,Low
3.44,14.29,13.27,2685.8,6.2,31793,Low
2.98,7.41,7.49,1275.8,0.62,80968,Low
7.43,56.25,12.08,1526.5,15.03,20134,Low
7.37,24.35,11.77,2372,10.59,35558,High
14.88,33.53,10.56,3030.7,32.85,20393,High
6.41,25.78,6.65,1432.6,3.16,29023,Low
8.71,10.61,14.42,873.5,15.48,19038,High
2.6,1.69,8.09,383,4.23,43486,Low
2.94,3.2,7.66,2775.6,0.74,42281,Low
4.67,5.43,8.36,1418.4,14.39,20146,Low
7.28,27.24,15.75,2209.7,7.09,23745,Low
4.23,1.72,7.41,3400.1,5.48,40926,Low
4.58,21.91,6.5,7345.3,6.18,44672,Low
7.41,51.71,11.62,2831.1,6.61,21318,Low
5.09,25.55,7.47,2456.7,11.74,30743,Low
3.03,30.38,11.63,3175.7,1.84,43800,Low
6.32,31.8,6.96,2529.6,7.85,30535,Low
4.6,7.26,14.68,3789.9,4.17,29693,Low
5.77,45.29,4.81,1503.5,5.46,22265,Low
6.16,39.22,10.15,1456.1,5.57,41315,High
3.76,40.06,13.27,3426.9,2.49,38956,High
8.43,36.61,13.28,9422.4,13.83,33367,High
4.46,18.8,10.28,1020.1,11.03,37764,Low
4.6,45.14,8.14,1687.6,10.3,25312,Low
4.41,9.41,4.67,1325.9,7.75,60634,Low
9.35,34.54,12.37,2865.6,8.8,21898,High
5.53,24.35,8.07,1286.7,14.04,20606,Low
6.1,35.38,13.52,1574.2,19.77,21645,High
3.02,12.89,8.12,819.5,5.49,42530,Low
9.85,31.38,12.82,14073.6,24.71,18617,High
15.46,38.38,7.91,3912.5,31.51,24128,High
6.68,5.79,15.04,1086.8,14.8,15708,High
4.89,25.78,12.43,4818.2,7.52,32955,Low
8.13,18.17,15.85,1285.9,9.59,17876,High
6.4,0,13.36,999.5,11.18,24568,Low
7.58,11.37,11.91,1487.3,16.05,22807,High
2.81,24.7,4.4,3322.8,1.51,100077,Low
