@relation 'newdata_train-weka.filters.unsupervised.attribute.Remove-V-R3-4,6,8'

@attribute PctImmigRec5 numeric
@attribute TotalPctDiv numeric
@attribute PctLess9thGrade numeric
@attribute levelofcrime {Low,High}

@data
15.93,8.41,1.84,Low
14.29,13.27,6.2,Low
7.41,7.49,0.62,Low
24.35,11.77,10.59,High
33.53,10.56,32.85,High
25.78,6.65,3.16,Low
10.61,14.42,15.48,High
1.69,8.09,4.23,Low
3.2,7.66,0.74,Low
5.43,8.36,14.39,Low
27.24,15.75,7.09,Low
21.91,6.5,6.18,Low
51.71,11.62,6.61,Low
30.38,11.63,1.84,Low
31.8,6.96,7.85,Low
7.26,14.68,4.17,Low
45.29,4.81,5.46,Low
39.22,10.15,5.57,High
40.06,13.27,2.49,High
18.8,10.28,11.03,Low
35.38,13.52,19.77,High
12.89,8.12,5.49,Low
31.38,12.82,24.71,High
38.38,7.91,31.51,High
5.79,15.04,14.8,High
18.17,15.85,9.59,High
0,13.36,11.18,Low
11.37,11.91,16.05,High
24.7,4.4,1.51,Low
19.2,11.55,10.42,Low
7.63,12.29,9.6,Low
32.37,15.42,17.16,High
3.99,12.04,8.49,High
20,12.3,3.88,Low
5.04,14.46,19.2,High
32.01,10.54,9.08,High
27.35,8.36,5.15,Low
26.88,15.18,5.03,High
28.41,6.83,5.84,Low
23.64,9.73,9.36,High
11.04,7.89,8.98,Low
46.41,10.28,5.19,Low
24.35,12.12,2.38,Low
22.11,12.1,11.74,Low
5.67,6.35,3.29,Low
8.37,10.59,8.49,High
14.29,15.41,21.98,High
24.77,13.65,9.51,High
32.51,7.29,2.43,Low
15.41,10.63,6.65,Low
6.19,10.59,6.84,Low
21.54,5.34,1.87,Low
20.71,13.61,8.14,Low
5.28,5.67,3.88,Low
44.44,13.2,3.3,Low
40.43,8.74,12.71,Low
16.24,13.03,14.59,High
38.02,14.64,11.14,Low
29.36,14.4,6.11,High
7.64,14.53,15.97,High
19.23,16.79,8.37,High
28.29,12.03,19.11,Low
21.44,14.78,8.24,High
11.95,10.66,5.89,Low
5.75,6.38,6.92,Low
0,11.24,15.56,High
7.57,9.35,8.08,High
40.73,13.3,9.01,High
16.57,6.07,2.91,Low
10.99,9.52,6.81,Low
23.34,11.38,7.9,High
18,17.53,10.74,High
19.24,13.18,7.34,High
15.06,11.54,3.44,Low
17.67,14.02,11.46,Low
13.11,10.78,5.7,High
18.46,7.87,2.15,Low
28.91,10.22,7.88,Low
7.69,13.82,5.45,Low
25.17,12.66,2.84,Low
25.02,14.85,3.77,High
11.25,7.25,1.07,Low
2.37,5.53,4.04,Low
8.8,5.9,4.77,Low
36.31,14.02,5.82,High
20.12,11.54,22.23,High
5.97,7.51,2.4,Low
8.88,11.2,11.51,High
37.33,14.98,23.43,High
11.73,14.68,11.13,High
18.91,7.04,7.11,Low
27.66,10.65,7.65,Low
0,4.98,7.78,Low
9.24,3.91,2.44,Low
33.97,15.47,12.54,High
46.78,11.19,4.16,Low
21.45,12.08,4.04,Low
13.46,12.03,15.17,High
51.8,13.98,13.78,High
17.73,9.84,2.59,High
3.07,5.53,3.26,Low
26.83,11.85,7.16,High
40.77,11.97,4.77,High
71.53,2.83,4.7,Low
35.54,16.34,20.02,High
11.76,7.53,1.97,Low
17.36,8.33,5.18,Low
33.96,13.62,7.84,High
20.27,7.65,5.02,Low
37.41,11.5,12.73,High
22.09,12.92,19,High
21.15,8.96,15.22,High
10.22,11.45,8.74,High
19.55,9.2,9.22,Low
8.95,10.45,14.23,High
15.49,9.48,4.83,Low
19.83,15.22,6.95,High
30.64,10.96,13.57,High
20.52,9.21,11.2,High
27.46,9.6,3.65,Low
32.27,5.59,7.74,Low
24.01,10.33,3.3,Low
33.55,12.71,11.99,High
28.53,11.64,10.84,High
14.51,8.28,4.46,Low
17.23,10.72,6.43,Low
26.85,7.89,49.89,High
7.15,10.45,12.82,Low
31.3,9.7,4.88,Low
25.95,14.35,14.51,High
4.06,7.14,6.9,Low
24.98,12.99,13.25,High
39.27,12.18,13.74,High
13.76,6.83,3.33,Low
3.63,8.64,3.15,Low
17.95,9.56,4.57,Low
41.97,11.01,7.03,High
9.94,7.15,18.95,Low
28.33,5.56,2.37,Low
9.47,7.39,4.53,Low
20.16,15.11,13.24,High
55.74,15.97,17.48,High
29.76,8,16.24,High
2.12,7.2,4.36,Low
15.74,9.07,2.94,High
53.56,12.82,16.03,High
20.14,8.91,7.29,Low
41.75,14.35,13.58,High
10.11,12.32,12.56,Low
10.85,7.78,6.01,Low
29.55,13.18,6.78,High
16.26,11.88,5.99,High
34.11,15.12,18.6,High
17.8,10.52,8.5,High
19.74,9.7,36.03,High
28.61,12.93,13.85,High
30.94,14.24,14.9,High
26.33,10.98,6.38,High
42.84,13.6,3.37,High
14.08,8.33,4.2,Low
40.83,13.72,21.36,High
29.48,11.01,3.61,Low
8.68,11.06,12.6,Low
6.07,5.92,6.09,Low
21.27,10.84,15.44,High
13.92,6.81,2.54,Low
19.79,7.8,1.47,Low
11.88,6.39,4.83,Low
23.79,15.65,14.81,High
22.35,11.39,3.56,High
12.23,8.89,15.8,Low
16.67,15.74,3.26,Low
7.45,6.06,1.94,Low
28.71,12.51,5.18,High
22.69,10.22,18.05,High
15.59,7.98,2.04,Low
23.79,11.98,11.42,High
20.53,6.72,3.97,Low
15.55,14.85,5.93,High
16.45,13.17,7.65,High
24.73,12.69,5.08,Low
7.69,9.28,4.25,Low
23,8.82,9.55,Low
28.64,13.12,25.38,High
51.19,12.48,11.71,High
11.17,14.22,5.09,Low
42.41,15.16,10.6,High
21.95,16.38,13.46,High
54.17,9.82,11.47,Low
18.1,14.03,24.59,High
29.21,8.52,4.32,Low
34.39,7.78,10.43,Low
25.52,8.73,1.23,Low
20.98,14.22,17.74,High
7.33,10.62,9.35,Low
11,12.7,3.49,Low
4.88,6.07,2.46,Low
19.65,8.53,20.26,High
13.93,11.19,19.97,Low
43.91,8.98,5.94,Low
21.69,10.6,12.65,Low
22.23,7.94,5.67,High
64.08,7.13,4.35,Low
25.15,14.35,0.7,High
0,14.04,18.32,High
11.87,9.19,5.6,High
2.66,13.56,9.68,High
15.02,6.77,2.44,Low
13.54,9.31,4.48,Low
14.11,7.48,4.51,Low
17.77,13.95,16.7,High
35.62,11.2,13.67,High
0,10.34,6.65,Low
16.23,9.37,3.29,High
31.94,17.92,5.57,High
37.7,14.95,22.93,High
28.61,12.53,3.58,High
23.98,13.38,3,Low
19.61,7.6,44.56,High
11.56,14.52,13.4,High
32.53,11.62,18.87,High
15,13.12,6.88,High
31.58,13.62,18.01,High
9.81,7.89,3.26,Low
26.82,16.16,8.02,High
25.49,12.34,6.74,Low
12.21,7.42,4.68,Low
17.31,9.6,7.35,Low
18.72,11.17,12.33,Low
19.45,9.7,6,Low
19.06,7.76,2.92,Low
13.89,11.11,6.67,High
14.59,12.19,9.47,High
17.03,8.82,11.62,High
11.85,6.77,10.85,Low
30.8,6.92,4.85,Low
52.11,6.46,2.18,Low
33.97,11.19,12.26,High
19.45,6.31,1.83,High
21.89,6.66,5.33,High
11.48,10.78,7.5,Low
16.2,8.26,6.58,Low
19.64,14.49,18.2,High
25.5,6.36,3.19,Low
39.1,11.85,8.32,Low
5.47,8.73,8.73,Low
18.14,7.19,5.83,Low
21.28,11.55,8.85,Low
54.01,9.06,3.51,Low
8.8,11.33,10.27,High
38.84,12.39,10.78,Low
0,9.1,8.37,Low
0,10.36,13.96,Low
31.42,12.13,9.97,High
46.84,12.03,12.72,High
31.41,12.79,22.88,High
3.41,11.59,12.07,High
31.44,10.75,10.44,High
7.81,7.62,10.58,Low
3.45,13.01,12.87,High
6.36,12.25,16.01,High
19.66,13.23,8.87,High
46.77,5.54,9.93,Low
10.71,13.27,7.49,Low
27.24,9.05,3.83,Low
19.76,12.98,10.37,Low
14.91,9.12,4.25,Low
5.46,13.48,17.8,High
45.45,7.73,3.77,Low
20.84,12.25,6.84,High
20.93,14.05,14.08,High
0,12.41,14.37,Low
25.86,14.62,2.81,High
32.14,14.89,7.43,High
5.78,5.17,4.76,Low
40.06,11.66,12.13,High
0,12.04,8.41,Low
15.41,11.29,5.74,Low
31.82,14.34,13.4,High
17.74,6.12,6.71,Low
13.31,5.55,0.61,Low
38.64,14,5.44,Low
33.33,8.51,12.74,Low
7.78,5.73,12.67,High
8.65,9.48,5.71,Low
43.36,7.98,20.1,High
21.05,9.91,3.18,Low
26.49,11.86,3.2,Low
12.5,12.97,18.36,Low
0.48,5.96,16.38,Low
27.69,12.24,11.41,High
21.41,13.59,2.63,Low
11.46,10.61,3.54,High
16.33,11.3,13.96,Low
17.23,11.46,2.13,Low
13.3,5.81,5.87,Low
18.86,12.54,4.69,High
31.87,13.27,23.98,High
3.84,7.11,13.46,Low
18.9,8.75,3.77,Low
24.34,13.16,10.14,High
22.38,10.41,5.5,Low
8.16,6.97,3.75,Low
35.62,13.12,20.22,High
33.98,13.8,15.86,High
17.46,9.56,40.23,High
31.6,11.2,7.99,High
18.62,15.85,9.38,High
4.58,6.43,6.07,Low
26.76,12.07,11.62,High
6.15,8.84,6.17,Low
2.78,12.07,10.93,Low
4.46,16.98,11.68,High
8.58,12.56,10.33,High
3.23,9.73,3.98,Low
30.16,15.73,18.35,High
15.58,8.24,9.07,Low
24.53,13.64,11.62,Low
20.53,12.94,28.32,Low
25.41,9.63,20.21,High
5.73,14.39,11.04,Low
10.8,9.18,10.97,Low
11.28,8.08,2.78,Low
16.13,11.95,6.87,Low
39.51,11.25,3.32,High
37.99,6.34,6.97,Low
3.67,8.76,6.91,Low
40.73,15.61,5.7,High
2.93,8.39,6.52,Low
36.73,12.77,7.11,High
13.38,5.58,4.45,Low
25.49,17.81,9.5,High
14.15,7.58,4.41,Low
4.07,9.19,2.92,High
52.17,9.22,9.55,Low
6.24,9.4,6.01,Low
15.35,13.57,5.71,High
5.32,10.67,2.56,Low
36.37,15.72,12.85,High
15.92,5.74,2.08,Low
50.56,12.79,19.56,High
18.21,15.97,9.19,High
27.49,11.62,9.29,High
25.48,13.67,12.91,Low
22.18,10.39,1.66,Low
32.35,10.81,15.09,Low
34.49,11.06,9.86,Low
43.46,12.71,8.72,High
13.82,5.99,2.29,Low
34.85,10.68,16.53,Low
20.99,10.21,6.06,High
18.32,8.26,14.15,Low
11.77,8.53,4.44,Low
20.62,8.85,3.04,Low
15.62,8.49,5.27,Low
38.65,6.7,4.61,Low
27.21,9.86,7.21,High
5.2,9.87,5.62,Low
21.15,10.29,7.84,High
27.47,14.85,10.23,High
8.55,9.66,4.65,Low
2.76,12.01,8.74,High
23.51,9.62,7.74,Low
21.52,8.23,7.1,Low
10.68,7.68,1.81,Low
38.63,16.07,15.65,High
9.16,9.34,5.23,Low
28.85,11.87,17.16,High
14.96,10.47,34.76,Low
37.05,16.26,7.22,High
9.14,8.85,10.14,Low
20.52,12.1,25.54,High
17.01,8.37,7.1,Low
16.87,13.98,9.78,High
8.59,11.5,20.35,High
7.38,11.47,5.5,High
17.84,7.54,3.11,Low
14.53,13.09,19.62,High
27.35,8.39,13.64,Low
16.67,11.98,11.66,High
18.25,12.87,6.32,High
5.27,7.64,0.63,Low
20.43,4.64,2.1,Low
16.53,9.87,3.18,High
15.45,14.05,5.83,Low
30.7,11.57,8.67,Low
17.13,5.23,4.36,Low
16.72,8.09,3.65,Low
22.09,14.77,8.81,High
30.21,7.75,5.02,Low
22.24,11.35,15.21,High
20,9.55,4.16,Low
24.32,15.11,11.39,High
23.3,11.15,6.57,High
8.76,12.41,8.78,Low
22.41,14.36,12.14,High
14.4,8.05,3.07,Low
14.32,11.28,4.44,Low
62.72,14.15,18.01,High
36.46,11.52,12.08,High
29.9,8.77,8.39,High
18,6.45,2.21,Low
18.66,13.71,2.12,Low
20.42,7.05,3.29,Low
25.21,14.05,8.09,High
22.59,10.8,8.95,High
27.16,17.06,9.96,High
24.62,14.35,7.78,High
19.2,12.82,12.87,High
42.14,12.92,3.96,Low
35.58,11.37,16.42,High
9.78,14.81,10.03,High
16.88,7.56,5.65,Low
10.42,9.43,14.14,Low
42.44,7.65,4.23,High
19.86,11.18,3.38,Low
22.74,10.45,5.67,Low
49.25,7.23,3.34,High
14.94,12.3,10.44,High
7.75,13.08,14.05,Low
11.48,6.95,1.6,Low
20.43,7,4.32,Low
31.07,12.24,1.9,Low
13.65,10.24,4.25,Low
9.39,12.93,5.9,High
5.63,10.04,8.13,Low
28.4,9.27,8.74,Low
32.71,10.66,44.2,High
41.12,13.27,2.94,High
12.22,8,7.82,Low
4.96,7.67,4.8,Low
18.11,8.89,5.46,High
3.34,10.31,9.96,High
9.83,5.82,17.12,Low
8.21,8.44,1.15,Low
0,7.67,7.83,Low
14.18,7.42,12.36,Low
31.67,8.04,11.08,Low
17.32,10.91,18.23,Low
22.83,14.31,11.26,High
11.56,9.32,5.61,Low
9.38,9.69,8.52,Low
24.51,15.65,13.43,High
12.26,11,7.43,Low
21.73,11.39,5.11,High
59.16,5.6,6.27,Low
14.73,7.71,6.97,Low
12.67,9.3,2.01,Low
28.62,8.96,3.79,High
23.46,13.03,1.76,Low
10.53,8.03,13.58,Low
30.11,13.45,7.78,High
28.07,12.87,8.78,High
39.8,15.71,10.65,High
9.59,12.94,15.74,High
17.3,12.22,6.79,Low
24.62,12.62,17.99,High
35.47,13.3,8.27,Low
17.99,11.27,2.98,Low
20,9.09,5.84,Low
3.85,6.28,7.25,Low
5.64,15.37,9.71,High
14.19,11.97,9.18,High
8.91,13.8,20.69,Low
19.93,8.04,6.97,Low
27.55,14.46,7.97,High
30.5,17.91,20.83,High
7.88,6.5,1.84,Low
19.66,6.95,6.64,Low
27.82,13.18,1.84,Low
20.56,6.2,6.1,Low
25.48,8,1.89,Low
46.25,14.22,20.39,High
28.62,9.28,48.23,High
24.56,12.84,13.67,High
25.84,9.55,3.07,Low
7.91,12.42,2.41,Low
8.84,9.71,5.18,Low
20.26,9.69,3.83,Low
31.58,12.39,10.81,High
15.97,13.91,14.44,Low
20.55,14.47,13.34,High
12.5,8.61,8.2,Low
67.39,13.88,13.76,High
25.29,11.57,15.88,High
16.92,11.29,15.08,High
17.8,9.71,7.15,Low
40.53,9.25,8.23,High
22.72,11.78,3.28,Low
4.75,10.9,8.52,High
20.95,13.69,7.5,High
20.27,8.53,1.94,Low
5.25,9.28,7.92,Low
14.04,13.21,1.96,Low
29.5,11.06,5.7,High
2.92,11.66,4.98,Low
17.4,8.63,3.4,Low
1.68,7.56,6.13,Low
19.56,13.05,2.85,Low
14.03,12.89,8.85,High
41.72,10.73,2.13,Low
23.65,6.14,4.42,Low
26.91,9.8,34.08,High
28.12,10.72,10.19,High
15.6,11.34,8.02,Low
20.17,13.96,2.42,High
19.8,14.4,3.3,Low
0,10.15,11.34,Low
20.83,11.32,23.25,High
28.13,6.97,3.82,Low
13.35,14.32,9.4,High
18.9,11.59,7.32,High
12.63,11.75,3.42,High
1.73,6.67,6.19,Low
27.99,12.48,11.89,High
18.23,8.82,10.73,High
31.25,12,15.69,High
9.03,13.89,10.61,High
8.46,13.1,5.36,Low
5.41,9.25,7.85,Low
34.44,14.09,5.79,High
14.76,10.66,7.33,High
37.02,13.1,6.54,High
28.81,6.41,1.31,Low
30.93,14.78,8.98,High
26.82,12.99,10.13,High
41.76,12.86,14.15,High
27.16,10.19,44.54,High
11.48,13.78,16.88,High
9.59,6.85,6.75,Low
29.07,11.8,7.47,High
32.1,13.96,19.9,High
16.38,11.77,9.11,High
30.17,12.51,5.31,High
19.5,4.27,9.47,Low
33.8,14.08,21.36,High
25.46,12.3,12.18,High
27.84,12.8,8.15,High
25.58,12.27,17.13,Low
3.66,8.07,8.52,Low
27.64,14.42,4.94,High
30.1,10,9.61,Low
6.25,4.16,3.38,Low
24.26,13.7,9.78,Low
10.7,13.59,20.68,High
19.37,14.39,9.24,High
31.54,12.08,8.05,High
3.54,7.47,4.66,High
23.08,10.31,14.33,Low
15.86,8.4,44.85,High
10.77,6.78,10.57,High
8.07,7.82,7.74,Low
12.71,9.69,4.84,Low
10.24,6.21,8.68,Low
22.89,11.41,12.04,High
41.96,9.04,5.29,Low
24.17,14.45,10.97,High
28.81,10.85,1.98,Low
22.07,11.47,16.05,High
39.28,11.46,23.34,High
30.95,13.55,3.65,High
15.55,9.97,7.26,Low
28.09,11.69,14.58,High
21.45,15.16,2.53,High
14.33,6.59,4.02,Low
26.22,8.04,7.92,Low
9.52,10.4,1.99,Low
15.02,12.16,6.21,High
18.1,5.91,0.82,Low
40,11.2,18.34,High
11.15,8.61,11.45,Low
9.9,11.36,15.26,High
16.3,8.15,7.27,Low
8.35,6.63,5.73,Low
8.05,7.81,10.09,Low
20.07,11.35,9.75,High
24.87,15.32,6.01,Low
15.53,12.19,10.98,High
8.05,5.98,2.1,Low
64.23,11.4,13.22,High
25.28,13.07,5.32,High
16.6,7.68,2.98,Low
12.22,9.79,1.23,Low
39.97,10.43,9.36,Low
28.51,7.29,5.5,Low
20.42,13.91,8.08,High
24.11,4.56,6.13,High
4.64,11.21,6.13,Low
22.08,9.52,5.77,Low
18.68,10.25,4.76,Low
34.59,6.4,4.32,Low
11.8,6.04,7.28,Low
9.66,7.98,16.88,Low
31.13,6.87,20.43,Low
23.87,12.33,12.72,High
26.14,9.89,23.03,High
37.04,12.48,17.9,High
35.71,14.69,9.43,High
27.23,14.35,9.87,High
18.02,12.02,10.02,Low
13.89,7.92,14.96,Low
13.03,8.01,4.13,Low
24.45,12.22,12.27,High
37.5,11.53,6.92,High
18.7,10.17,11.12,Low
21.18,13.25,9.81,High
28.01,13.96,8.03,High
21.5,11.45,13.23,Low
17.24,9.91,18.77,Low
9.83,7.72,7.18,Low
10.44,7.9,2.21,Low
9.89,8.12,4.78,Low
35.15,13.06,13.6,Low
13.01,6.64,5.41,Low
24.15,10.71,4.42,High
21.52,8.58,1.37,Low
25.42,7.63,17.83,Low
30.39,16.1,7.99,High
3.16,6.59,6.71,Low
0,7.69,15.41,Low
