@relation 'newdata_train-weka.filters.unsupervised.attribute.Remove-V-R2-4,8'

@attribute PctUnemployed numeric
@attribute PctImmigRec5 numeric
@attribute TotalPctDiv numeric
@attribute levelofcrime {Low,High}

@data
8.12,49.9,6.09,Low
5.26,27.41,11.7,Low
5.01,0,6.85,Low
5,10.22,9.64,Low
6.2,25.76,11.9,High
5.52,57.12,8.21,Low
8.61,24.69,12.04,High
5.13,15.32,11.51,Low
4.81,18.16,16.26,High
2.63,10.47,6.52,Low
2.46,3.76,8.84,Low
4.36,26.76,12.79,Low
8.85,10.57,12.17,High
5.85,53.28,4.58,Low
5.73,0,10.32,High
4.9,45.08,6.35,Low
6.6,23.03,11.15,High
4.74,9.9,9.52,Low
2.55,16.85,8.08,Low
9.86,6.1,10.93,High
10.56,6.82,13.57,High
11.85,24.79,16.17,High
6.77,26.73,16.61,High
8.29,19.07,10.26,High
5.55,35.2,8.13,Low
4.53,10.07,11.77,Low
3.53,21.36,13.3,High
4.22,8.72,9.65,Low
3.66,24.09,10.55,High
3.19,23.42,9.26,Low
7.25,12.03,12.71,High
6.47,18.43,14.52,High
10.56,17.03,13.29,High
5.21,14.59,10.66,Low
5.82,24.77,5.98,High
8.28,32.91,13.57,High
3.17,40.55,13.27,High
5.23,20.47,11.14,Low
6.84,61.69,6.17,Low
3.63,9.72,6.4,Low
5.93,21.49,12.83,High
2.57,8.34,6.24,Low
10.81,28.31,12.51,High
10.21,16.8,11.77,High
9.08,0,12.14,Low
12.39,36.73,12.88,High
9.67,34.81,11.07,Low
4.36,7.45,6.45,Low
9.68,19.06,14.39,High
6.96,23.36,15.36,High
4.36,38.54,4.28,Low
5.44,7.92,9.37,High
5.47,18.2,8.09,Low
5.61,27.51,13.61,High
8.32,33.9,10.24,High
2.84,16.89,7.7,Low
7.12,30.65,14.83,High
3.17,38.3,14.85,High
3.52,47.14,9.32,Low
9,51.32,13.71,High
5.32,10.26,12.04,Low
6.7,7.63,6.81,High
9.91,25.69,11.56,High
5.03,0,13.51,Low
6.29,20.69,10.59,High
11.04,28.56,12.67,High
4.07,15.5,12,High
2.07,15.93,8.41,Low
3.44,14.29,13.27,Low
2.98,7.41,7.49,Low
7.37,24.35,11.77,High
14.88,33.53,10.56,High
6.41,25.78,6.65,Low
8.71,10.61,14.42,High
2.6,1.69,8.09,Low
2.94,3.2,7.66,Low
4.67,5.43,8.36,Low
7.28,27.24,15.75,Low
4.58,21.91,6.5,Low
7.41,51.71,11.62,Low
3.03,30.38,11.63,Low
6.32,31.8,6.96,Low
4.6,7.26,14.68,Low
5.77,45.29,4.81,Low
6.16,39.22,10.15,High
3.76,40.06,13.27,High
4.46,18.8,10.28,Low
6.1,35.38,13.52,High
3.02,12.89,8.12,Low
9.85,31.38,12.82,High
15.46,38.38,7.91,High
6.68,5.79,15.04,High
8.13,18.17,15.85,High
6.4,0,13.36,Low
7.58,11.37,11.91,High
2.81,24.7,4.4,Low
2.39,19.2,11.55,Low
7.52,7.63,12.29,Low
10,32.37,15.42,High
7.01,3.99,12.04,High
2.55,20,12.3,Low
8.17,5.04,14.46,High
5.42,32.01,10.54,High
8.07,27.35,8.36,Low
6.09,26.88,15.18,High
4.6,28.41,6.83,Low
7.59,23.64,9.73,High
5.46,11.04,7.89,Low
2.42,46.41,10.28,Low
5.31,24.35,12.12,Low
7.07,22.11,12.1,Low
3.78,5.67,6.35,Low
8.27,8.37,10.59,High
8.52,14.29,15.41,High
3.73,24.77,13.65,High
4.57,32.51,7.29,Low
3.59,15.41,10.63,Low
2.87,6.19,10.59,Low
3.56,21.54,5.34,Low
9.51,20.71,13.61,Low
2.93,5.28,5.67,Low
5.14,44.44,13.2,Low
5.79,40.43,8.74,Low
6.51,16.24,13.03,High
10.06,38.02,14.64,Low
5.26,29.36,14.4,High
6.6,7.64,14.53,High
8.53,19.23,16.79,High
8.72,28.29,12.03,Low
4.82,21.44,14.78,High
3.09,11.95,10.66,Low
4.82,5.75,6.38,Low
4.44,0,11.24,High
4.26,7.57,9.35,High
8.79,40.73,13.3,High
3.98,16.57,6.07,Low
2.91,10.99,9.52,Low
5.32,23.34,11.38,High
10.39,18,17.53,High
5.29,19.24,13.18,High
10.08,15.06,11.54,Low
9.17,17.67,14.02,Low
4.22,13.11,10.78,High
3.06,18.46,7.87,Low
5.02,28.91,10.22,Low
7.85,7.69,13.82,Low
3.2,25.17,12.66,Low
2.22,25.02,14.85,High
2.87,11.25,7.25,Low
4.25,2.37,5.53,Low
4.65,8.8,5.9,Low
4.77,36.31,14.02,High
9.85,20.12,11.54,High
7.29,5.97,7.51,Low
6.66,8.88,11.2,High
7.72,37.33,14.98,High
7.84,11.73,14.68,High
5.04,18.91,7.04,Low
4.72,27.66,10.65,Low
5.87,0,4.98,Low
2.72,9.24,3.91,Low
10.69,33.97,15.47,High
6.05,46.78,11.19,Low
3.65,21.45,12.08,Low
6.83,13.46,12.03,High
5.04,51.8,13.98,High
7.93,17.73,9.84,High
2.32,3.07,5.53,Low
6.51,26.83,11.85,High
3.97,40.77,11.97,High
8.7,71.53,2.83,Low
16.3,35.54,16.34,High
4.56,11.76,7.53,Low
6.71,17.36,8.33,Low
6.32,33.96,13.62,High
4.49,20.27,7.65,Low
9.47,37.41,11.5,High
7.69,22.09,12.92,High
7.89,21.15,8.96,High
6.91,10.22,11.45,High
3.8,19.55,9.2,Low
8.55,8.95,10.45,High
3.15,15.49,9.48,Low
7.23,19.83,15.22,High
6.99,30.64,10.96,High
6.48,20.52,9.21,High
3.29,27.46,9.6,Low
3.05,32.27,5.59,Low
3.95,24.01,10.33,Low
4.96,33.55,12.71,High
5.54,28.53,11.64,High
4.16,14.51,8.28,Low
5.54,17.23,10.72,Low
12.22,26.85,7.89,High
6.53,7.15,10.45,Low
3.76,31.3,9.7,Low
6.9,25.95,14.35,High
5.66,4.06,7.14,Low
9.04,24.98,12.99,High
4.09,39.27,12.18,High
4.08,13.76,6.83,Low
5.29,3.63,8.64,Low
4.5,17.95,9.56,Low
5.14,41.97,11.01,High
7.24,9.94,7.15,Low
3.11,28.33,5.56,Low
2.26,9.47,7.39,Low
12.41,20.16,15.11,High
17.87,55.74,15.97,High
6.15,29.76,8,High
6.39,2.12,7.2,Low
5.56,15.74,9.07,High
8.36,53.56,12.82,High
3.85,20.14,8.91,Low
10.18,41.75,14.35,High
6.59,10.11,12.32,Low
5.46,10.85,7.78,Low
5.79,29.55,13.18,High
6.83,16.26,11.88,High
6.12,34.11,15.12,High
7.13,17.8,10.52,High
11.48,19.74,9.7,High
6.32,28.61,12.93,High
4.77,30.94,14.24,High
4.17,26.33,10.98,High
3.82,42.84,13.6,High
5.29,14.08,8.33,Low
11.24,40.83,13.72,High
4.81,29.48,11.01,Low
11.19,8.68,11.06,Low
6.27,6.07,5.92,Low
7.84,21.27,10.84,High
4.52,13.92,6.81,Low
2.54,19.79,7.8,Low
1.98,11.88,6.39,Low
9.16,23.79,15.65,High
3.64,22.35,11.39,High
3.9,12.23,8.89,Low
6.69,16.67,15.74,Low
5.57,7.45,6.06,Low
5.04,28.71,12.51,High
5.93,22.69,10.22,High
2.72,15.59,7.98,Low
7.49,23.79,11.98,High
2.85,20.53,6.72,Low
7.01,15.55,14.85,High
4.17,16.45,13.17,High
6.17,24.73,12.69,Low
4.37,7.69,9.28,Low
3.87,23,8.82,Low
14.33,28.64,13.12,High
4.31,51.19,12.48,High
4.76,11.17,14.22,Low
5.75,42.41,15.16,High
8.15,21.95,16.38,High
6.44,54.17,9.82,Low
7.05,18.1,14.03,High
5.35,29.21,8.52,Low
4.57,34.39,7.78,Low
2.74,25.52,8.73,Low
7.38,20.98,14.22,High
8.18,7.33,10.62,Low
4.02,11,12.7,Low
5.21,4.88,6.07,Low
4.7,19.65,8.53,High
9.35,13.93,11.19,Low
5.21,43.91,8.98,Low
8.64,21.69,10.6,Low
4.74,22.23,7.94,High
6.22,64.08,7.13,Low
1.87,25.15,14.35,High
6.23,0,14.04,High
4.62,11.87,9.19,High
5.06,2.66,13.56,High
3.59,15.02,6.77,Low
6.32,13.54,9.31,Low
6.41,14.11,7.48,Low
12.78,17.77,13.95,High
16.51,35.62,11.2,High
10.91,0,10.34,Low
2.99,16.23,9.37,High
4.21,31.94,17.92,High
7.11,37.7,14.95,High
4.84,28.61,12.53,High
4.19,23.98,13.38,Low
16.97,19.61,7.6,High
9.04,11.56,14.52,High
7.78,32.53,11.62,High
5.46,15,13.12,High
4.05,31.58,13.62,High
4.07,9.81,7.89,Low
5.63,26.82,16.16,High
6.42,25.49,12.34,Low
4.38,12.21,7.42,Low
7.1,17.31,9.6,Low
7.63,18.72,11.17,Low
4.46,19.45,9.7,Low
2.24,19.06,7.76,Low
7.56,13.89,11.11,High
6.97,14.59,12.19,High
6.38,17.03,8.82,High
4.71,11.85,6.77,Low
3.06,30.8,6.92,Low
4.22,52.11,6.46,Low
5.78,33.97,11.19,High
2.83,19.45,6.31,High
3.45,21.89,6.66,High
4.86,11.48,10.78,Low
6.26,16.2,8.26,Low
8.37,19.64,14.49,High
3.87,25.5,6.36,Low
6.4,39.1,11.85,Low
4.71,5.47,8.73,Low
3.96,18.14,7.19,Low
9.21,21.28,11.55,Low
4.79,54.01,9.06,Low
7.37,8.8,11.33,High
4.9,38.84,12.39,Low
4.65,0,9.1,Low
5.6,0,10.36,Low
5.51,31.42,12.13,High
8.39,46.84,12.03,High
12.79,31.41,12.79,High
10.36,3.41,11.59,High
6.07,31.44,10.75,High
3.26,7.81,7.62,Low
12.86,3.45,13.01,High
3.75,6.36,12.25,High
7.43,19.66,13.23,High
3.91,46.77,5.54,Low
5.44,10.71,13.27,Low
4.41,27.24,9.05,Low
6.82,19.76,12.98,Low
5.92,14.91,9.12,Low
8.66,5.46,13.48,High
3.7,45.45,7.73,Low
5.87,20.84,12.25,High
11.25,20.93,14.05,High
9.34,0,12.41,Low
6.46,25.86,14.62,High
5.24,32.14,14.89,High
3.83,5.78,5.17,Low
8.73,40.06,11.66,High
8.37,0,12.04,Low
3.68,15.41,11.29,Low
7.17,31.82,14.34,High
3.13,17.74,6.12,Low
2.28,13.31,5.55,Low
4.48,38.64,14,Low
2.34,33.33,8.51,Low
6.22,7.78,5.73,High
6.35,8.65,9.48,Low
5.64,43.36,7.98,High
4.84,21.05,9.91,Low
4.19,26.49,11.86,Low
8.17,12.5,12.97,Low
6.26,0.48,5.96,Low
9.76,27.69,12.24,High
4.62,21.41,13.59,Low
4.37,11.46,10.61,High
5.45,16.33,11.3,Low
3.41,17.23,11.46,Low
3.91,13.3,5.81,Low
6.11,18.86,12.54,High
11.64,31.87,13.27,High
5.39,3.84,7.11,Low
3.14,18.9,8.75,Low
5.79,24.34,13.16,High
3.13,22.38,10.41,Low
2.8,8.16,6.97,Low
5.85,35.62,13.12,High
8.52,33.98,13.8,High
15.3,17.46,9.56,High
4.66,31.6,11.2,High
6.94,18.62,15.85,High
3.69,4.58,6.43,Low
6.26,26.76,12.07,High
4.48,6.15,8.84,Low
11.12,2.78,12.07,Low
16.6,4.46,16.98,High
8.93,8.58,12.56,High
4.13,3.23,9.73,Low
12.39,30.16,15.73,High
5.31,15.58,8.24,Low
4.84,24.53,13.64,Low
8.2,20.53,12.94,Low
10.29,25.41,9.63,High
7.39,5.73,14.39,Low
7.55,10.8,9.18,Low
4.07,11.28,8.08,Low
2.27,16.13,11.95,Low
5.19,39.51,11.25,High
4.87,37.99,6.34,Low
4.41,3.67,8.76,Low
3.92,40.73,15.61,High
5.35,2.93,8.39,Low
2.83,36.73,12.77,High
2.81,13.38,5.58,Low
5.16,25.49,17.81,High
3.46,14.15,7.58,Low
3.92,4.07,9.19,High
6.24,52.17,9.22,Low
4.86,6.24,9.4,Low
7.16,15.35,13.57,High
3.55,5.32,10.67,Low
8.24,36.37,15.72,High
4.35,15.92,5.74,Low
8.82,50.56,12.79,High
12.83,18.21,15.97,High
5.15,27.49,11.62,High
7.85,25.48,13.67,Low
3.76,22.18,10.39,Low
7.19,32.35,10.81,Low
6.16,34.49,11.06,Low
4.72,43.46,12.71,High
3.83,13.82,5.99,Low
4.15,34.85,10.68,Low
3.7,20.99,10.21,High
3.57,18.32,8.26,Low
3.47,11.77,8.53,Low
2.47,20.62,8.85,Low
3.59,15.62,8.49,Low
5.25,38.65,6.7,Low
5.08,27.21,9.86,High
4.55,5.2,9.87,Low
4.69,21.15,10.29,High
7.84,27.47,14.85,High
6.22,8.55,9.66,Low
7.44,2.76,12.01,High
4.62,23.51,9.62,Low
5.37,21.52,8.23,Low
2.78,10.68,7.68,Low
8.38,38.63,16.07,High
4.18,9.16,9.34,Low
8.69,28.85,11.87,High
13.57,14.96,10.47,Low
5.33,37.05,16.26,High
7.71,9.14,8.85,Low
17.4,20.52,12.1,High
3.36,17.01,8.37,Low
6.21,16.87,13.98,High
7.2,8.59,11.5,High
3.89,7.38,11.47,High
3.46,17.84,7.54,Low
5.73,14.53,13.09,High
5.86,27.35,8.39,Low
9,16.67,11.98,High
3.9,18.25,12.87,High
1.61,5.27,7.64,Low
3.51,20.43,4.64,Low
2.06,16.53,9.87,High
5.78,15.45,14.05,Low
5.39,30.7,11.57,Low
4.7,17.13,5.23,Low
2.64,16.72,8.09,Low
7.89,22.09,14.77,High
3.37,30.21,7.75,Low
9.39,22.24,11.35,High
3.61,20,9.55,Low
8.15,24.32,15.11,High
4.96,23.3,11.15,High
7.78,8.76,12.41,Low
7.94,22.41,14.36,High
8.97,14.4,8.05,Low
2.92,14.32,11.28,Low
6.76,62.72,14.15,High
7.02,36.46,11.52,High
8.11,29.9,8.77,High
4.36,18,6.45,Low
2.92,18.66,13.71,Low
1.79,20.42,7.05,Low
7.1,25.21,14.05,High
6.09,22.59,10.8,High
11.76,27.16,17.06,High
8.2,24.62,14.35,High
7.87,19.2,12.82,High
6.42,42.14,12.92,Low
9.18,35.58,11.37,High
5.39,9.78,14.81,High
3.14,16.88,7.56,Low
5.21,10.42,9.43,Low
6.9,42.44,7.65,High
4.48,19.86,11.18,Low
4.96,22.74,10.45,Low
4.42,49.25,7.23,High
5.94,14.94,12.3,High
4.82,7.75,13.08,Low
3.62,11.48,6.95,Low
4.47,20.43,7,Low
2.4,31.07,12.24,Low
5.29,13.65,10.24,Low
3.96,9.39,12.93,High
2.96,5.63,10.04,Low
7.18,28.4,9.27,Low
10.24,32.71,10.66,High
2.96,41.12,13.27,High
3.82,12.22,8,Low
3.09,4.96,7.67,Low
4.57,18.11,8.89,High
3.75,3.34,10.31,High
3.91,9.83,5.82,Low
2.41,8.21,8.44,Low
10.57,0,7.67,Low
4.55,14.18,7.42,Low
6.33,31.67,8.04,Low
7.69,17.32,10.91,Low
7.16,22.83,14.31,High
3.09,11.56,9.32,Low
5.96,9.38,9.69,Low
4.28,24.51,15.65,High
3.5,12.26,11,Low
9.52,21.73,11.39,High
8.03,59.16,5.6,Low
3.83,14.73,7.71,Low
3.72,12.67,9.3,Low
5.68,28.62,8.96,High
3.53,23.46,13.03,Low
4.82,10.53,8.03,Low
7.22,30.11,13.45,High
6.1,28.07,12.87,High
9.24,39.8,15.71,High
10.95,9.59,12.94,High
4.03,17.3,12.22,Low
10.62,24.62,12.62,High
4.29,35.47,13.3,Low
2.46,17.99,11.27,Low
3.34,20,9.09,Low
2.87,3.85,6.28,Low
7.88,5.64,15.37,High
7.8,14.19,11.97,High
8.71,8.91,13.8,Low
3.58,19.93,8.04,Low
4.97,27.55,14.46,High
9.64,30.5,17.91,High
2.41,7.88,6.5,Low
4.03,19.66,6.95,Low
2.85,27.82,13.18,Low
3.51,20.56,6.2,Low
4.75,25.48,8,Low
8.82,46.25,14.22,High
13.37,28.62,9.28,High
6.37,24.56,12.84,High
3.37,25.84,9.55,Low
3.3,7.91,12.42,Low
3.12,8.84,9.71,Low
3.96,20.26,9.69,Low
3.52,31.58,12.39,High
8.38,15.97,13.91,Low
6.16,20.55,14.47,High
4.06,12.5,8.61,Low
7.35,67.39,13.88,High
7.82,25.29,11.57,High
8.35,16.92,11.29,High
5.29,17.8,9.71,Low
4.77,40.53,9.25,High
4.38,22.72,11.78,Low
6.75,4.75,10.9,High
6.15,20.95,13.69,High
4.22,20.27,8.53,Low
4.01,5.25,9.28,Low
3.27,14.04,13.21,Low
6.17,29.5,11.06,High
6.83,2.92,11.66,Low
3.76,17.4,8.63,Low
4.96,1.68,7.56,Low
2.43,19.56,13.05,Low
6.98,14.03,12.89,High
5.05,41.72,10.73,Low
3.42,23.65,6.14,Low
15.72,26.91,9.8,High
5.45,28.12,10.72,High
6.17,15.6,11.34,Low
3.2,20.17,13.96,High
4.75,19.8,14.4,Low
7.2,0,10.15,Low
13.9,20.83,11.32,High
2.23,28.13,6.97,Low
5.56,13.35,14.32,High
5.2,18.9,11.59,High
3.35,12.63,11.75,High
5.82,1.73,6.67,Low
10.76,27.99,12.48,High
5.16,18.23,8.82,High
4.36,31.25,12,High
15.6,9.03,13.89,High
6.2,8.46,13.1,Low
5.9,5.41,9.25,Low
6.25,34.44,14.09,High
7.62,14.76,10.66,High
6.67,37.02,13.1,High
1.96,28.81,6.41,Low
7.34,30.93,14.78,High
5.88,26.82,12.99,High
11.99,41.76,12.86,High
12.37,27.16,10.19,High
9.96,11.48,13.78,High
1.97,9.59,6.85,Low
6.82,29.07,11.8,High
15.94,32.1,13.96,High
7.28,16.38,11.77,High
6.44,30.17,12.51,High
7.7,19.5,4.27,Low
14.99,33.8,14.08,High
6.63,25.46,12.3,High
5.72,27.84,12.8,High
5.42,25.58,12.27,Low
6.24,3.66,8.07,Low
4.62,27.64,14.42,High
4.31,30.1,10,Low
2.25,6.25,4.16,Low
9.79,24.26,13.7,Low
14.24,10.7,13.59,High
8.24,19.37,14.39,High
5.7,31.54,12.08,High
3.93,3.54,7.47,High
6.76,23.08,10.31,Low
19.01,15.86,8.4,High
4.56,10.77,6.78,High
4.04,8.07,7.82,Low
5.84,12.71,9.69,Low
2.65,10.24,6.21,Low
6.41,22.89,11.41,High
5.8,41.96,9.04,Low
4.18,24.17,14.45,High
2.75,28.81,10.85,Low
8.77,22.07,11.47,High
10.94,39.28,11.46,High
4.58,30.95,13.55,High
2.32,15.55,9.97,Low
7.91,28.09,11.69,High
4.71,21.45,15.16,High
3.53,14.33,6.59,Low
2.54,26.22,8.04,Low
2.95,9.52,10.4,Low
7.16,15.02,12.16,High
1.85,18.1,5.91,Low
6.84,40,11.2,High
7.02,11.15,8.61,Low
7.77,9.9,11.36,High
3.65,16.3,8.15,Low
4.44,8.35,6.63,Low
5.12,8.05,7.81,Low
4.96,20.07,11.35,High
6.9,24.87,15.32,Low
6.41,15.53,12.19,High
5.24,8.05,5.98,Low
5.1,64.23,11.4,High
5.55,25.28,13.07,High
2.13,16.6,7.68,Low
2.84,12.22,9.79,Low
5.46,39.97,10.43,Low
4.46,28.51,7.29,Low
6.08,20.42,13.91,High
3.68,24.11,4.56,High
5.03,4.64,11.21,Low
3.88,22.08,9.52,Low
4.97,18.68,10.25,Low
5.08,34.59,6.4,Low
4.53,11.8,6.04,Low
7.49,9.66,7.98,Low
5.74,31.13,6.87,Low
6.99,23.87,12.33,High
7.66,26.14,9.89,High
8.38,37.04,12.48,High
6.2,35.71,14.69,High
7.84,27.23,14.35,High
5.28,18.02,12.02,Low
2.36,13.89,7.92,Low
3.47,13.03,8.01,Low
6.87,24.45,12.22,High
2.82,37.5,11.53,High
8.25,18.7,10.17,Low
8.88,21.18,13.25,High
5.62,28.01,13.96,High
5.41,21.5,11.45,Low
7.07,17.24,9.91,Low
5.82,9.83,7.72,Low
5.03,10.44,7.9,Low
4.38,9.89,8.12,Low
3.58,35.15,13.06,Low
3.28,13.01,6.64,Low
4.19,24.15,10.71,High
2.41,21.52,8.58,Low
7.65,25.42,7.63,Low
5.41,30.39,16.1,High
3.27,3.16,6.59,Low
7.45,0,7.69,Low
